 Variables , 1975 1Q , 1975 2Q , 1975 3Q , 1975 4Q , 1976 1Q , 1976 2Q , 1976 3Q , 1976 4Q , 1977 1Q , 1977 2Q , 1977 3Q , 1977 4Q , 1978 1Q , 1978 2Q , 1978 3Q , 1978 4Q , 1979 1Q , 1979 2Q , 1979 3Q , 1979 4Q , 1980 1Q , 1980 2Q , 1980 3Q , 1980 4Q , 1981 1Q , 1981 2Q , 1981 3Q , 1981 4Q , 1982 1Q , 1982 2Q , 1982 3Q , 1982 4Q , 1983 1Q , 1983 2Q , 1983 3Q , 1983 4Q , 1984 1Q , 1984 2Q , 1984 3Q , 1984 4Q , 1985 1Q , 1985 2Q , 1985 3Q , 1985 4Q , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q , 2019 4Q , 2020 1Q , 2020 2Q 
Accommodation & Food Services,112.4,110.7,116.6,123.4,125.1,120.7,127.5,135.4,136.9,137.2,144.4,154.3,160.5,158.3,169.6,179.7,183.8,187.7,198.2,220.5,232.6,237.7,254.8,273.8,277.8,282.5,302.9,318.7,330.2,327.3,339,351.6,347.7,343.9,347.1,360.7,349.1,348.3,348.9,364.2,346.9,344.1,340.1,357.6,332.5,329.7,345.5,359.5,341,351.1,376.2,402.9,401.4,410.4,436.9,471.1,474.5,491.7,547.6,587.5,578,574.5,591.1,627.8,561.6,601.2,627.4,656.6,654.1,641.7,657.1,678.9,681.5,684.2,706.8,750.7,739.7,713.2,752.2,784.6,774.4,778,826.5,860.9,855.1,837.8,843.8,905.1,918.1,914.9,932.2,955.4,893.7,856.8,843.6,890.9,864.5,895.6,883.2,947.7,933.8,928.7,948.1,995.1,977,964.2,951.7,943.3,920.8,915.5,910.1,948.4,916.7,711,874,972.4,962.9,946.5,956.2,992.1,951.8,985.5,993.6,"1,049.80","1,026.90","1,044.30","1,095.40","1,136.60","1,163.20","1,190.30","1,236.10","1,280.10","1,349.20","1,341.10","1,352.40","1,312.30","1,216.90","1,177.90","1,255.20","1,320.70","1,372.50","1,452","1,577.40","1,663.60","1,686.60","1,771.70","1,866.70","1,903.40","1,929.80","1,947.70","1,985.70","1,984.20","2,071.60","2,044.90","2,046.50","2,045.90","2,121.40","2,113","2,213.30","2,217.60","2,163.10","2,105.40","2,251.80","2,242.70","2,281.90","2,237.20","2,393.20","2,316.70","2,362.50","2,270.40","2,420.50","2,391.70","2,417.40","2,389.40","2,543.40","2,516.20","2,491.70","2,446.20","2,654.30","2,644.90","1,953.60","1,073"
 Information & Communications ,69.8,65.5,65.9,72.8,71.2,76.5,78.7,77.4,93.5,84.5,88.5,98.7,101,113.8,119.9,129.1,119.3,128.8,134,141,150.4,157.3,155.3,169.3,174,185.3,200.8,195.7,192.2,197.5,200.5,222.6,196.7,219.5,217.4,226.7,217.2,240.2,242.6,252.4,236.7,246.6,242.3,238.4,237.1,244.6,238.5,260,246.6,277.2,290.5,299.6,315.4,325.7,335,373.7,370.9,398.2,397.6,433.4,428.9,443.1,459.9,491.6,484.3,534.3,559.4,566,596,608.1,621.4,642,652.1,730.8,739,780.1,734.9,821.3,828.4,840.6,863.7,922.3,958.5,994,934.3,"1,001.60","1,010.40","1,078.60","1,005.80","1,158.20","1,167.40","1,176.60","1,110.60","1,190.70","1,157.70","1,192.50","1,188.90","1,309.90","1,342.90","1,438.10","1,298.60","1,430.70","1,480.10","1,512.70","1,642.50","1,706.40","1,713","1,676","1,602.80","1,604.30","1,634.10","1,664.70","1,706.90","1,727.60","1,736","1,800.20","1,790.50","1,876.90","1,861.20","1,908","1,952.70","1,964.80","2,011","2,051.80","2,012.40","2,077.10","2,153","2,190.30","2,177.10","2,296.30","2,342.20","2,332.30","2,348.70","2,315.80","2,384.40","2,560.10","2,645.90","2,625.90","2,614.80","2,674.90","2,736.90","2,841.60","2,779.50","2,992.10","3,054.80","3,107.40","3,134.90","3,251.70","3,285.70","3,453.20","3,385.50","3,570.90","3,572.20","3,781.50","3,665","3,755.60","3,880.10","3,999.10","3,931.30","3,988.30","3,814.10","4,003.50","3,905.10","4,056.60","4,245.10","4,455.50","4,254.90","4,311.50","4,616.60","4,690.50","4,589.50","4,714.20","4,741.10","5,021.90","4,893.70","5,166.30","5,000.10","5,248.90","5,085.20","5,428.80","5,172.40","5,203.20"
 Finance & Insurance ,248.9,235.6,242,261.2,270.3,259.7,269.4,289.8,277.3,283.1,283.4,288,310.1,324.7,342,377.7,362.5,385.9,412,451.9,518.7,548.5,593.4,633.3,709.8,764.9,820.9,850.7,832.1,878.3,933.8,"1,015.80",937.1,"1,001",998.8,"1,016.20","1,102.70","1,104.80","1,165.70","1,176","1,278.40","1,284","1,260.70","1,246.40","1,191.10","1,176.10","1,232.70","1,238.50","1,325.90","1,465.80","1,580.20","1,472.30","1,416.40","1,534.90","1,594.70","1,655.50","1,616.80","1,837.30","1,816.80","1,871.50","2,201.50","2,260.50","2,379.70","2,349.20","2,254.20","2,223.60","2,198.90","2,183.90","2,364.30","2,410.90","2,564.60","2,684.90","2,541.60","2,822.30","2,850.20","3,395.70","3,178.30","3,010.80","3,227.90","3,173.60","3,142.30","3,233.20","3,379.70","3,274.60","3,479.40","3,458","3,527.60","3,690.40","4,422","4,580.50","4,547.80","4,312.70","4,228.50","4,251.40","4,303.50","4,200.30","3,463.50","4,113.50","3,975.20","3,824.50","3,942.40","3,978.70","3,905","3,772.70","4,419.70","4,401.40","3,825.90","3,860.60","4,352.90","4,141.50","4,035","4,161.20","3,976.60","4,159.40","4,406.40","4,344.50","4,548.70","4,476.10","4,741.50","4,772.80","4,583.90","4,915","4,931.30","5,250.10","5,488.50","5,820.10","5,888.80","6,311.10","6,801","7,430.30","7,449.70","7,887.60","7,661.60","7,949.10","7,857.10","6,722.20","7,238","7,936.20","8,088.10","8,327.50","8,304","8,410.40","8,472.20","8,800.20","8,774.30","8,647.50","9,042.30","8,834.60","9,517.50","9,432.60","9,242","9,530","10,699.50","10,736.30","10,465.90","10,990.90","11,263.80","11,238.70","11,471.10","11,995.10","12,368.40","12,181","12,450.70","12,874.40","13,001.60","12,680.50","12,723.90","13,252.90","13,653.70","14,048.70","14,267.80","14,950.80","15,259.70","15,425.10","15,529.10","15,988.10","16,395.20","16,595.10","16,478.30","17,252.10","17,796.70","16,664.60"
 Business Services ,268.5,275.6,288.4,286.4,289,283.2,298.9,297.3,303.1,302.7,305.6,311.1,318,315.2,326.4,326.3,346.2,357.2,368.2,380.7,418.8,436.3,463.6,482,571.1,593.7,664.4,673.8,751.4,773.5,801.5,843.1,819.3,845.2,900.6,912.2,880.8,883.6,933.1,916,955.3,897.5,800.7,745.2,862.8,773.7,776.6,922.1,876.2,767.7,809.7,"1,014.50","1,023.30","1,033.10","1,100","1,167.50","1,250.90","1,323.80","1,459.20","1,468.70","1,547.20","1,635.40","1,691","1,743.20","1,759.10","1,831.80","1,875.40","1,940.50","2,017.60","2,114.30","2,134.50","2,171.50","2,237.40","2,359.60","2,369.80","2,464.90","2,743.70","2,832.60","2,991.60","3,167.30","3,117.90","3,348","3,502","3,677.20","3,709.30","3,944.60","3,914.30","4,011.30","4,050.60","4,188.50","4,334.80","4,439.40","4,156","4,164.60","3,928","3,811.50","3,817","4,010.10","4,099.50","4,217.40","4,202.50","4,374.10","4,509.50","4,567.50","4,404.60","4,426.20","4,372.40","4,232.40","4,437.20","4,589.60","4,579","4,616.90","4,505.30","4,476.10","4,603.40","4,753.70","4,808.40","4,937","5,005.60","5,193.90","5,236","5,390.40","5,625.50","5,915.20","5,769.40","5,930.70","6,168.70","6,645.20","6,939.80","7,445.10","7,853.40","8,401.20","8,712.40","8,821.50","9,028.50","9,142","8,661.70","8,553.70","8,998.50","9,540.70","10,083.50","10,401.30","10,507.80","11,221.70","11,301.30","11,586.80","12,285.70","12,613.60","12,382.80","12,610.60","12,729.30","13,581.80","13,410.40","13,912.40","14,000.60","14,338.10","13,745.80","14,376.90","14,460.70","15,351","14,817.60","15,519.60","16,013.80","16,771.40","16,288.20","16,312.40","16,310.10","16,885.80","16,211.70","16,595","16,613.20","17,376.50","17,113.10","17,374.10","17,406","17,930.10","17,609.60","17,689.30","17,727","18,450.20","17,076.50","13,889.70"
 Other Services Industries ,328.1,324.1,344.7,402.4,357.1,347.5,358.6,420.1,374.4,361.5,371.7,437.2,398.7,385.6,408,488.4,431.5,420.5,463.6,547.1,488.4,470.4,512.5,624.6,559.3,544.7,603,715.4,680.5,690.8,738.8,962.6,815.7,787.9,903.3,"1,003.10",912.8,870.9,"1,027","1,113.40","1,049.90",976.9,"1,081.60","1,199.20","1,097.90",986.8,"1,017.70","1,215.80","1,147.30","1,058.20","1,049.60","1,312.10","1,172.50","1,077.40","1,167.70","1,677.80","1,355.60","1,280.80","1,438.70","1,818.60","1,452.60","1,426","1,659","2,015.70","1,635.60","1,601.20","1,834.50","2,254.30","1,767.30","1,748.30","2,001.10","2,430.50","1,948.80","1,911.10","2,193.80","2,725.80","2,231.60","2,224.90","2,519.30","3,266.30","2,457.40","2,391.90","2,762.30","3,315.60","2,829.10","2,702","3,101","3,648.30","3,093.30","2,984.10","3,359.50","3,946.70","3,351","3,125.20","3,388.10","3,645.60","3,356.10","3,107.90","3,376.30","3,878.20","3,647.10","3,489.40","3,986.20","4,622.60","4,455.10","3,945","4,426.30","4,621.50","4,833.70","4,329.10","4,641.30","5,000.10","5,167.10","4,228.10","4,573.60","4,980.30","5,463.90","4,524.20","4,843","5,331.40","5,400.40","4,705.50","5,055.60","5,656.80","5,778","5,099.10","5,428.70","6,237.20","6,001.80","5,715.70","5,822.40","6,645.40","6,996.70","5,918.80","6,219.90","6,810.40","7,234.10","6,236.50","6,393.70","7,101.80","8,023","7,537.80","7,929.80","8,929.30","10,040.70","8,142.90","8,489","9,212.30","10,083","8,597.50","8,809.50","10,069.30","10,588.20","9,296.70","9,745.60","10,662.60","11,307.20","9,782.90","10,187.60","11,377.70","12,136.10","10,273.90","10,852.10","11,700.90","12,723.40","10,906.20","11,567.90","12,440.40","13,539.50","11,498.10","12,078.80","13,424.40","14,315.30","11,994.20","12,658.10","14,005.40","14,762.50","12,474","13,187.40","13,900","14,151.10","10,003.20"
 Ownership Of Dwellings ,81.2,83.5,86,86.7,88.6,89.3,91.3,92.9,96,98.1,97.7,100.1,104.2,105.1,105.4,106.2,112.5,113.8,116.1,116.8,120,120.2,120,120.9,153.8,156.3,157.4,160.7,144.9,147.5,150.1,157.7,201.1,206.6,211.1,225.3,268.7,278.6,298.6,309.7,270.3,323.2,366.9,386.3,318.5,323.6,368.1,407.4,383.6,441.3,451.8,465.4,465.9,466.9,472.6,525.8,515.9,544.7,571.8,613.5,595.8,610.6,612.2,602.6,615.5,654.5,671.9,676.4,705.4,718,740.7,741.5,832.3,839.7,852.6,860.6,"1,029.60","1,044.60","1,044.70","1,059.60","1,141.80","1,177.40","1,208.10","1,241.60","1,303.90","1,327.70","1,363.90","1,390.60","1,443.20","1,462.70","1,495.70","1,511.30","1,576.90","1,567.40","1,554.10","1,517.70","1,457.70","1,431.50","1,412.30","1,413.80","1,395.60","1,426.90","1,455.10","1,480.50","1,492.20","1,509.30","1,509.40","1,509.60","1,440.10","1,402.40","1,414.60","1,451.80","1,501.10","1,500.80","1,494.60","1,484.70","1,456.40","1,416.10","1,437.10","1,454","1,529.10","1,566.90","1,610.90","1,610.90","1,731.80","1,749.50","1,743.70","1,787.20","1,829.20","1,934.50","2,057.10","2,122.50","2,287.20","2,419.20","2,649.30","2,810.50","2,605.70","2,567","2,571.80","2,607.20","2,657.10","2,772.10","2,867.90","3,050","3,155.80","3,345.40","3,482.60","3,621.10","3,725.40","3,879.40","4,012.60","4,131.90","4,230.20","4,304.30","4,343.10","4,373.40","4,382.10","4,424.10","4,471.70","4,519.30","4,529.70","4,539.90","4,532","4,498.50","4,416.70","4,384.90","4,395.40","4,392.40","4,322.10","4,335.60","4,356.20","4,422.40","4,351.60","4,421.50","4,466.40","4,510.90","4,461.20","4,562.30","4,644","4,694.90","4,633.10","4,708"
 Gross Value Added At Basic Prices ,"3,087.10","3,194","3,396.90","3,562.90","3,409.40","3,493.40","3,715.60","3,848.90","3,723.20","3,820.20","4,016","4,187.30","4,113","4,216.30","4,516.20","4,801.80","4,574.90","4,874.50","5,250.80","5,624.80","5,777.10","6,025.90","6,370.40","6,736.30","6,696.50","7,048.50","7,563.60","7,950.50","7,771.10","7,917.80","8,323.30","8,779","8,458.90","8,997.40","9,455.30","9,740","9,529.30","9,857.20","10,270.80","10,512.60","10,018.30","9,825.20","9,815.10","9,665.80","9,363.60","9,655.50","9,929.70","10,497.50","9,978.60","10,619.50","11,224.30","11,916.20","11,515.30","12,363.80","13,194.30","13,975.80","12,994.20","14,233.70","15,086.80","15,812","15,672.10","16,314.40","17,204","18,034.20","17,750.70","18,306.50","19,236.20","19,860.40","18,872.40","19,359.50","20,560.30","21,836.30","21,215.10","22,339.30","23,533","25,272","24,508.70","25,288.10","26,875.80","28,353.10","26,594.70","28,151.70","29,966","31,356.40","30,631.30","31,074","31,727.80","33,903.40","32,695.80","34,219.60","35,842.30","36,739","34,149.80","33,908.50","34,002.50","34,127.80","32,254.60","33,991.90","34,944.20","36,324.90","35,626.20","37,102.90","40,053.60","41,611.80","38,891.70","37,674.60","37,150.40","37,605.30","38,341.20","39,009.10","39,473.10","40,247.90","39,871.30","37,726","40,399.90","42,993.30","44,022.60","44,574.80","46,887.40","49,254","47,916.40","48,950.20","51,550","54,810.20","53,271.30","54,877.40","57,409.20","60,729.50","60,236.50","63,221.20","65,692.40","68,027.70","65,073.30","64,702.70","66,311.80","63,621.80","61,994.40","64,956.70","68,891.60","72,610.20","73,918.20","76,675","77,170.60","81,283.20","81,649.20","81,165","83,266.10","85,320.50","86,336.30","87,066.10","85,118.30","89,097.50","88,476.70","89,716.30","90,648.90","93,857.60","92,172.70","92,726.10","94,070.10","98,229.90","97,569.80","98,219","100,083.70","103,314.90","99,569.70","101,017.80","103,014.70","110,098.60","108,714.40","107,453.10","109,652.50","117,428.50","113,859.40","116,298.80","121,372","125,360.60","119,565.60","118,557.60","121,498.10","122,044.40","116,630.20","98,845.60"
 Add: Taxes On Products ,122.3,113,122.4,130.1,135.7,126.8,130.9,142.7,150.3,142.9,156.4,156.9,171.1,160.5,179.6,178.9,193.6,187.1,210.4,225.1,240,220.7,247.5,251.7,277.9,249.8,281.6,283.6,293.2,281.2,293.8,321.8,357.1,332.1,342.5,374.7,401.7,368.6,398,392.2,421.9,355.5,404.8,356.2,405.4,305.9,358.3,376.8,448.7,363,500.9,498.3,594.3,490.9,608.7,689.2,960.4,620.6,702.4,898.4,997.4,773.3,726.1,770.8,770.3,751.6,915.4,951.7,"1,086.50","1,022.40","1,114","1,068.80","1,339.10","1,294.40","1,447.30","1,482.90","1,779.60","1,660.90","2,169.20","1,920","2,332.10","1,953.70","2,104.80","2,003.90","2,143","2,105","2,182.70","2,010","2,094.70","2,620.80","2,409.30","2,042.90","1,846.60","1,946.20","1,881.90","1,611.60","1,655.30","2,206.90","2,522.10","2,352.60","2,638.60","2,947.30","2,896.20","2,755.80","2,567.70","2,505.60","2,282.40","2,207.90","2,208.10","2,315.60","1,973.10","2,130","2,248.20","2,403.50","2,194","2,281.70","2,607.30","2,156.30","2,340.20","2,590.40","2,586.70","2,243.10","2,162.80","2,503.60","2,521.10","2,409.10","2,294.20","2,647","3,325.50","3,752.80","4,312.80","4,128.70","3,640.50","3,742.20","3,764.10","3,085.20","2,786.30","3,369.20","3,776.30","4,009.80","3,976.40","4,622.40","4,650.90","4,683.40","4,797.30","5,163.40","4,966.70","5,039.70","4,764.30","5,526.90","5,109.80","5,751.30","5,296.30","5,870.90","5,379.40","5,624.20","4,948.10","5,614.80","5,474.60","5,711.60","5,695.30","6,217.60","6,180.10","6,163.70","6,440.30","6,652.90","6,755.60","6,668.60","6,989.20","6,994.20","7,030.70","7,816.50","6,775.70","7,402.90","6,327","5,998.80","6,179.80","6,693","6,412.40","6,616.80","6,273.50","3,790.90"
" Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Seasonally Adjusted, Quarter On Quarter ** Â  (Per Cent) ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
 GDP In Chained (2015) Dollars , na ,1.8,2,1.4,2.8,0.9,2,1,2.2,2.1,1,1.7,0.8,2.4,3.9,2.7,0.2,3.3,1.8,4.3,1.6,2,2.2,2.5,3,3.1,2.2,2,1.3,1.6,1.5,1.5,2.6,2.1,2.1,3,3.2,1.2,1.2,0.4,1.2,-2.7,-1.1,-1.1,1,1.3,1.6,2.6,2.4,3.2,3.5,2.9,1.1,4,2.7,2.6,0.1,5.7,1.2,2.3,4.1,1,1.1,1.6,2.4,1.4,1.7,0.8,1.7,1.2,2.7,2.7,2.2,4.3,1.8,3.9,3.1,1.2,3.1,1.4,-0.5,3,4.4,0.9,3.3,-0.1,0,2.7,3,3.3,1.6,-0.8,-2.6,-0.7,-0.8,1.8,1.8,2.5,1.9,0.9,3.1,2.1,3.5,0.8,-0.9,-2.6,-2.2,0.7,3,2.9,0.1,-0.2,1.3,-1.4,5.7,2.8,3,1.5,0.7,2.3,0.6,2.6,2.6,3.3,1.7,1.1,1.9,3.9,1.5,2.3,2.6,0.5,2.6,-2.5,-0.8,-2.2,-2.6,4.2,3.7,1.6,5.6,6.2,-2.9,4,1.9,-0.2,2.4,0.7,1.9,0.9,-1.1,2.7,0.9,2.1,0.7,1,0.7,1,0.9,1.5,-0.4,1.2,1.2,0,0.7,1,0.8,1.8,0.6,0.3,2.3,1.4,0.8,0.5,0.2,-0.3,0.6,-0.2,0.6,0.2,-0.8,-13.2
 Manufacturing , na ,-0.4,10.6,1.5,3.9,-1.1,4.1,1,3.3,3.4,-0.1,2.6,0.4,4.6,6.1,4.2,2,2.4,1.9,5.5,0.9,2.3,1.6,2.7,2.6,4.6,-0.4,-0.7,1,-3.1,-3.1,-3.9,6,-0.8,4.1,3.1,3.7,0.4,-0.7,-1.4,-1,-4.3,-2.2,-3.5,5,6,5.1,3.5,1.9,4.4,5.4,7.3,3.2,4.6,2.4,1.7,1,4.6,1.7,2.6,2.1,2,2.7,1.3,3.8,-1.5,0,-0.2,0.5,-0.2,2.8,4,1.2,3.3,1.6,1.9,4.6,4,2.5,0.5,0.9,3.7,7,-0.4,2.8,-3.8,-2.5,2.4,-1.7,6.3,2.6,1.3,-4.3,0.3,-1.5,2.7,7.7,1.9,4.6,-0.9,6.4,2.9,6.3,2.1,-8.3,-8.6,-5.3,2.2,7.9,8.8,-3.2,-3.6,5.3,-5.5,7.4,2.6,6.3,2.9,-1.1,5.1,-3.3,5.6,5.5,5.7,1,-0.3,3.1,4.7,-0.9,0.4,6.8,-6.6,11.9,-15.7,0.7,-5.1,-5.8,9.9,9.6,-9,24.8,15.9,-13.2,0.6,17,-6.4,-0.4,0.4,5.4,-1.6,-4.8,1.1,-1.5,6.1,-0.1,2.5,0.6,-1.6,0.1,-0.1,-2.9,-1.1,-1.9,-0.3,2.9,1.2,-2.5,10.4,-0.5,1.5,6.6,-1.6,3.5,2,-0.7,-0.1,-0.9,-1,1.2,-1.5,9.6,-9.1
 Construction , na ,4.7,4.9,5.9,2.2,2.9,0.7,-8,4.6,-1.9,2.9,-6.1,-4.1,-1.8,-0.2,5,0.7,2.9,-0.4,2.9,5.7,1.6,0.9,2.1,2.5,4.9,9.1,13,6,7.1,10.6,5.5,6.3,7.9,3.6,8.7,4.7,-0.3,0.5,-0.7,-1.2,-17.6,-2.8,-6.1,-4.8,-1.6,-16.6,-2.2,0.8,1.2,-2.9,-4.8,-1.3,2,-0.5,-2.3,0.9,-1.7,4.1,3.5,1.2,1.5,-2.4,8,4.3,0.3,10.7,7.3,3.5,2.4,0.6,3.2,-1.3,5.7,3.5,2.9,13.4,-1,5.7,0.8,-4.4,7.7,4.5,5.2,8.6,2.8,-1.2,4.5,1.4,4.9,7.7,0.2,0.1,0.2,-4,-4,0.9,-6.8,-3.5,-0.8,-3,2.4,3.6,2.7,-0.9,0,-2.8,-6.4,-0.3,-6.5,-3.8,-2.5,-5.5,2.8,1.3,-1.4,-2,-2.9,-2.2,-0.5,4.1,-2.5,-0.5,4.1,1.7,0.2,5.3,3.2,8.9,2,4.3,6.2,1.7,12.5,8,3.1,5.6,4,2.9,6.6,-2.4,4.4,-1.5,-0.2,-1.2,2,4.4,2.6,3.9,2.2,0.3,0.4,-0.8,1.1,1.5,2.7,4.8,-0.8,2.1,1.1,-0.7,6.1,0.8,0.2,-3.4,4.2,-3.4,-4.2,-0.3,-2.2,-0.2,1.4,-2.9,-1.7,0.2,0.6,1.9,-0.1,0.9,1.3,-3.2,-59.4
 Services Producing Industries , na ,2.4,-0.6,0.5,3.1,1.2,1.9,1.5,2.1,1.7,1.5,2,1.6,2.3,3.8,1.8,-0.2,3.5,2,3.5,2.2,2.2,2.6,2.5,3.2,2.3,2.4,1.9,1.8,2.4,2,2.5,0.2,2.2,1.3,1.9,2.4,1.3,1.7,1.6,1.9,0.8,-1.3,0.8,0.2,0.1,2.2,3.5,2.9,2.9,3,2.3,1.5,3.5,3.2,2.8,0.2,7.2,1,0.3,6.6,0.9,1.3,1.6,2.7,1.8,1.2,1.1,2.1,1.6,3.1,2.7,3.1,4.3,1.8,4.9,2.3,0.2,2.7,2.1,-1.2,3.2,3.7,1.1,3,0.7,1.1,3.6,4.4,2,1.1,-1.8,-3.4,-0.3,-0.6,2.4,-0.6,3.9,0.9,1.4,2.5,1.9,2.7,0.3,2.1,0,-1.6,0.6,1.6,1.4,2,1.1,0,-0.2,6.2,3.4,1.4,1.8,1.5,1.5,2.1,1.9,1.9,1.8,2.5,1.5,1.9,2.8,2.4,2.4,2.2,2.3,2,0.5,-0.7,-3.4,-1.1,1.8,3.2,2.7,3.5,2.9,1.7,3.7,0,0.9,4,-0.4,1.7,1.6,-0.3,2.8,3.1,0.9,0.9,0.7,0.8,1.8,0.7,2.3,-0.2,1.4,1.6,-0.3,0.1,0.6,1.6,0.8,0.3,0.7,0.9,1.9,0.9,0.2,0.5,-0.2,0.5,0.3,0.3,0.5,-3.4,-11.2
