Opinion on domestic travels after lifting COVID-19 restrictions in Japan 2020,,
Attitude towards domestic travels* after relaxation of coronavirus (COVID-19) related restrictions in Japan as of April 2020,,
,,
I would like to go immediately,14.8,in %
I would like to go after some time,57.8,in %
I would not go for the time being,22.9,in %
I would never go again,0.3,in %
I do not know,4.2,in %
